,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Jimmy Butler,30,09/14/89,"Houston, TX",Marquette,8,076edf90d1672d1588cba174c984b9e3,,https://a.espncdn.com/i/headshots/nba/players/full/6430.png,79.0,6430,22,Jimmy Butler,SF,32742000.0,miami-heat,s:40~l:46~a:6430,230.0,577.0,472.0,33.1,5.5,12.2,45.4,0.9,2.6,33.3,5.1,6.1,83.5,1.5,3.6,5.1,3.7,0.5,1.6,1.4,1.5,17.0
KZ Okpala,20,04/28/99,Nigeria,Stanford,0,de8d1ce9cadf50dcab46578058bab192,,https://a.espncdn.com/i/headshots/nba/players/full/4278521.png,80.0,4278521,4,KZ Okpala,SF,898310.0,miami-heat,s:40~l:46~a:4278521,215.0,5.0,0.0,5.2,0.6,1.0,60.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,0.8,1.0,0.2,0.2,0.4,0.4,0.2,1.4
Kelly Olynyk,28,04/19/91,"Toronto, ON",Gonzaga,6,9cfc539ec2edba991e28ae92154bf09b,,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png,83.0,2489663,9,Kelly Olynyk,PF,12667885.0,miami-heat,s:40~l:46~a:2489663,240.0,492.0,100.0,21.2,3.5,7.3,47.8,1.1,3.0,37.5,1.5,1.9,77.3,1.2,3.7,4.8,1.9,0.4,0.7,2.8,1.4,9.6
Kendrick Nunn,24,08/03/95,"Chicago, IL",Oakland,0,1b9cf1568fad5f2e8690c35912d79900,,https://a.espncdn.com/i/headshots/nba/players/full/3056247.png,74.0,3056247,25,Kendrick Nunn,SG,1416852.0,miami-heat,s:40~l:46~a:3056247,190.0,62.0,62.0,29.8,6.1,13.7,44.8,2.1,5.8,36.2,1.2,1.5,83.7,0.3,2.4,2.7,3.4,0.2,0.8,2.3,1.6,15.6
Kyle Alexander,23,10/21/96,"Scarborough, ON",Tennessee,0,ec82cf6a6a3dc2e0a412556809e457a1,,https://a.espncdn.com/i/headshots/nba/players/full/3918424.png,83.0,3918424,17,Kyle Alexander,F,,miami-heat,s:40~l:46~a:3918424,220.0,,,,,,,,,,,,,,,,,,,,,
Meyers Leonard,28,02/27/92,"Woodbridge, VA",Illinois,7,a8714c30890953702555fc52bd10dc39,,https://a.espncdn.com/i/headshots/nba/players/full/6605.png,84.0,6605,0,Meyers Leonard,C,11286516.0,miami-heat,s:40~l:46~a:6605,260.0,442.0,91.0,16.0,2.2,4.5,48.3,0.7,1.9,39.2,0.6,0.7,81.3,0.7,3.2,3.9,0.9,0.3,0.2,2.2,0.7,5.6
Solomon Hill,29,03/18/91,"Los Angeles, CA",Arizona,6,150bbb02738c01b0bcd062b6a052c4e3,,https://a.espncdn.com/i/headshots/nba/players/full/2488958.png,78.0,2488958,44,Solomon Hill,SF,12758781.0,miami-heat,s:40~l:46~a:2488958,226.0,359.0,172.0,22.0,2.0,5.1,39.6,0.8,2.4,33.8,1.0,1.3,80.0,0.7,2.5,3.2,1.6,0.2,0.7,1.7,0.9,5.8
Tyler Herro,20,01/20/00,"Milwaukee, WI",Kentucky,0,1417212dee61bc8b40a530dc9db6d72b,,https://a.espncdn.com/i/headshots/nba/players/full/4395725.png,77.0,4395725,14,Tyler Herro,SG,3640200.0,miami-heat,s:40~l:46~a:4395725,195.0,47.0,6.0,27.2,4.7,11.3,41.4,2.1,5.4,39.1,1.4,1.7,83.5,0.3,3.7,4.0,1.9,0.1,0.6,1.3,1.5,12.9
Udonis Haslem,39,06/09/80,"Miami, FL",Florida,16,cf71b775619741415c2e921ea60d009d,,https://a.espncdn.com/i/headshots/nba/players/full/2184.png,80.0,2184,40,Udonis Haslem,PF,1620564.0,miami-heat,s:40~l:46~a:2184,235.0,857.0,499.0,25.1,3.1,6.3,48.9,0.0,0.1,7.0,1.4,1.9,75.5,1.9,4.8,6.7,0.9,0.3,0.5,2.4,0.9,7.6
Aaron Gordon,24,09/16/95,"San Jose, CA",Arizona,5,d6c22a9ffbe31566e175c86137d057a5,,https://a.espncdn.com/i/headshots/nba/players/full/3064290.png,80.0,3064290,00,Aaron Gordon,PF,19863636.0,orlando-magic,s:40~l:46~a:3064290,235.0,399.0,310.0,28.6,4.8,10.7,44.7,1.1,3.4,31.8,2.0,2.9,70.1,1.6,4.8,6.4,2.4,0.6,0.8,2.0,1.4,12.7
BJ Johnson,24,12/21/95,"Mount Holly, NJ",La Salle,1,543c33c5e9d8eb15672476fe18a4d8f6,,https://a.espncdn.com/i/headshots/nba/players/full/3059280.png,79.0,3059280,13,BJ Johnson,SF,0.0,orlando-magic,s:40~l:46~a:3059280,200.0,15.0,0.0,6.3,0.9,2.4,38.9,0.3,0.9,30.8,0.3,0.3,100.0,0.2,0.7,0.9,0.1,0.0,0.3,0.3,0.3,2.4
Evan Fournier,27,10/29/92,France,,7,a05eed81df72d0ff0ec6f00da4b7757b,,https://a.espncdn.com/i/headshots/nba/players/full/6588.png,79.0,6588,10,Evan Fournier,SG,17150000.0,orlando-magic,s:40~l:46~a:6588,205.0,518.0,376.0,28.4,5.1,11.3,44.9,1.8,4.7,37.6,2.1,2.6,80.7,0.4,2.3,2.7,2.6,0.1,0.9,2.4,1.7,14.1
Gary Clark,25,11/16/94,"Smithfield, NC",Cincinnati,1,86545aa9f7c6f0ae4e0b5a62f0a28d0c,,https://a.espncdn.com/i/headshots/nba/players/full/3132042.png,78.0,3132042,12,Gary Clark,PF,,orlando-magic,s:40~l:46~a:3132042,225.0,86.0,3.0,12.4,1.0,2.9,34.9,0.8,2.6,30.8,0.2,0.2,93.8,0.6,1.7,2.3,0.4,0.5,0.3,0.9,0.1,3.0
Jonathan Isaac,22,10/03/97,"Bronx, NY",Florida State,2,99d3b132e33a2cc78cf9236b06d7c625,L,https://a.espncdn.com/i/headshots/nba/players/full/4065654.png,83.0,4065654,1,Jonathan Isaac,PF,5806440.0,orlando-magic,s:40~l:46~a:4065654,230.0,134.0,106.0,26.0,3.5,8.0,43.2,1.0,3.0,32.8,1.4,1.7,79.4,1.3,4.2,5.5,1.1,1.5,1.1,2.0,1.1,9.3
Khem Birch,27,09/28/92,Canada,UNLV,2,43829a29a656034b3ade785ff6d2e87e,,https://a.espncdn.com/i/headshots/nba/players/full/2578240.png,81.0,2578240,24,Khem Birch,PF,3000000.0,orlando-magic,s:40~l:46~a:2578240,233.0,132.0,25.0,15.1,1.6,3.0,54.8,0.0,0.0,0.0,1.1,1.6,66.8,1.7,2.5,4.2,0.8,0.5,0.4,1.5,0.5,4.3
Markelle Fultz,21,05/29/98,"Upper Marlboro, MD",Washington,2,3d85554f4ead77c64d9e8fe5ce01a40a,,https://a.espncdn.com/i/headshots/nba/players/full/4066636.png,75.0,4066636,20,Markelle Fultz,PG,9745200.0,orlando-magic,s:40~l:46~a:4066636,209.0,97.0,74.0,25.7,4.4,9.7,45.6,0.4,1.4,25.6,1.4,2.1,66.8,0.7,2.6,3.4,4.6,0.2,1.2,2.1,1.8,10.6
Mo Bamba,21,05/12/98,"Harlem, NY",Texas,1,74c0d8a89086966f3f7ad48490abc675,,https://a.espncdn.com/i/headshots/nba/players/full/4277919.png,84.0,4277919,5,Mo Bamba,C,5697600.0,orlando-magic,s:40~l:46~a:4277919,231.0,107.0,1.0,15.3,2.3,4.9,47.4,0.5,1.6,33.3,0.6,1.0,62.4,1.5,3.5,5.0,0.8,1.4,0.3,2.0,0.8,5.8
Nikola Vucevic,29,10/24/90,Switzerland,USC,8,2c9b229fcbd58e0bcf3a236f74f23867,,https://a.espncdn.com/i/headshots/nba/players/full/6478.png,83.0,6478,9,Nikola Vucevic,C,28000000.0,orlando-magic,s:40~l:46~a:6478,260.0,590.0,529.0,30.3,7.0,14.0,49.9,0.4,1.3,33.1,1.6,2.2,74.5,2.7,7.5,10.2,2.6,0.9,0.9,2.5,1.7,16.0
Terrence Ross,29,02/05/91,"Portland, OR",Washington,7,528d204e3905fdf2aa6facbf45947309,,https://a.espncdn.com/i/headshots/nba/players/full/6619.png,78.0,6619,31,Terrence Ross,SG,12500000.0,orlando-magic,s:40~l:46~a:6619,206.0,555.0,176.0,24.6,4.0,9.6,42.1,1.9,5.1,37.1,1.0,1.2,82.5,0.4,2.5,2.8,1.1,0.3,0.8,1.7,0.9,11.0
Vic Law,24,12/19/95,"South Holland, IL",Northwestern,0,eaffe8e171d5760e0e3da1b9bde70f62,,https://a.espncdn.com/i/headshots/nba/players/full/3136746.png,79.0,3136746,23,Vic Law,F,0.0,orlando-magic,s:40~l:46~a:3136746,200.0,5.0,0.0,1.8,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Wes Iwundu,25,12/20/94,"Houston, TX",Kansas State,2,16bc361299eb79d171b3be73ac5b42df,,https://a.espncdn.com/i/headshots/nba/players/full/3074797.png,78.0,3074797,25,Wes Iwundu,SF,1618420.0,orlando-magic,s:40~l:46~a:3074797,195.0,175.0,43.0,17.5,1.6,3.9,41.3,0.3,1.1,30.7,1.0,1.3,79.6,0.5,1.9,2.5,1.0,0.3,0.5,1.5,0.5,4.6
Admiral Schofield,23,03/30/97,England,Tennessee,0,5be403cf4a4d65e906e241f6ef132007,L,https://a.espncdn.com/i/headshots/nba/players/full/3918423.png,77.0,3918423,1,Admiral Schofield,SG,1000000.0,washington-wizards,s:40~l:46~a:3918423,241.0,27.0,2.0,10.9,1.1,2.8,40.0,0.5,1.7,29.8,0.3,0.5,69.2,0.2,1.0,1.3,0.5,0.1,0.3,1.5,0.3,3.1
Anzejs Pasecniks,24,12/20/95,Latvia,,0,d9e626432521e1da7eee4c1a94a8c9b7,,https://a.espncdn.com/i/headshots/nba/players/full/3893059.png,85.0,3893059,18,Anzejs Pasecniks,C,482144.0,washington-wizards,s:40~l:46~a:3893059,220.0,24.0,0.0,16.9,2.3,4.4,52.8,0.0,0.1,0.0,1.3,2.3,59.3,1.6,2.5,4.1,0.7,0.5,0.3,2.7,0.9,6.0
Bradley Beal,26,06/28/93,,Florida,7,fb35d5ac5ddec5ee98f3c348c244c0ae,B,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,75.0,6580,3,Bradley Beal,SG,27093019.0,washington-wizards,s:40~l:46~a:6580,207.0,545.0,511.0,34.6,7.6,16.9,45.2,2.3,6.0,38.0,3.4,4.2,80.7,0.8,3.2,4.0,4.0,0.4,1.1,2.2,2.3,21.0
Davis Bertans,27,11/12/92,Latvia,,3,bbe50a531f763f8b66e122c077b6dfba,,https://a.espncdn.com/i/headshots/nba/players/full/6426.png,82.0,6426,42,Davis Bertans,SF,7000000.0,washington-wizards,s:40~l:46~a:6426,225.0,274.0,32.0,18.6,2.7,6.1,44.1,1.9,4.5,41.1,0.8,1.0,84.9,0.4,2.4,2.8,1.1,0.4,0.4,1.6,0.6,8.0
Garrison Mathews,23,10/24/96,,Lipscomb,0,fdeab1798e3a6206a336412ef2916015,,https://a.espncdn.com/i/headshots/nba/players/full/3913180.png,77.0,3913180,24,Garrison Mathews,SG,0.0,washington-wizards,s:40~l:46~a:3913180,215.0,18.0,0.0,12.6,1.3,3.1,42.9,1.1,2.6,41.3,1.7,1.9,91.2,0.3,1.0,1.3,0.6,0.1,0.4,1.8,0.4,5.4
Ian Mahinmi,33,11/05/86,France,,11,0ad963a997e7f05226ba443e20b1d23f,,https://a.espncdn.com/i/headshots/nba/players/full/2774.png,83.0,2774,28,Ian Mahinmi,C,15450051.0,washington-wizards,s:40~l:46~a:2774,262.0,618.0,133.0,16.8,1.9,3.6,53.3,0.0,0.1,16.0,1.3,2.1,61.2,1.5,2.9,4.4,0.6,0.7,0.6,2.6,1.0,5.2
Isaac Bonga,20,11/08/99,Germany,,1,6d77fefbb742a1ad19448f66a56120bb,,https://a.espncdn.com/i/headshots/nba/players/full/4348697.png,80.0,4348697,17,Isaac Bonga,SF,1416842.0,washington-wizards,s:40~l:46~a:4348697,180.0,80.0,41.0,14.3,1.3,2.7,46.5,0.3,0.8,34.9,0.8,1.0,77.2,0.9,1.7,2.6,1.0,0.3,0.6,1.8,0.6,3.6
Ish Smith,31,07/05/88,"Charlotte, NC",Wake Forest,9,70ccf8eafde224a9199da476354af493,,https://a.espncdn.com/i/headshots/nba/players/full/4305.png,72.0,4305,14,Ish Smith,PG,6000000.0,washington-wizards,s:40~l:46~a:4305,175.0,602.0,161.0,20.1,3.3,7.6,43.0,0.4,1.3,31.8,0.7,1.1,67.9,0.4,2.1,2.4,3.9,0.2,0.7,1.3,1.3,7.7
Jerome Robinson,23,02/22/97,"Raleigh, NC",Boston College,1,6fd43d2575318ff1667094c84ec78f3c,,https://a.espncdn.com/i/headshots/nba/players/full/3943606.png,76.0,3943606,12,Jerome Robinson,SG,3567720.0,washington-wizards,s:40~l:46~a:3943606,190.0,88.0,4.0,12.1,1.4,3.7,36.5,0.6,1.8,30.4,0.3,0.4,68.4,0.1,1.5,1.7,1.0,0.2,0.4,1.5,0.5,3.6
John Wall,29,09/06/90,"Raleigh, NC",Kentucky,9,cc52762422ecec9cd08152d37b011a64,R,https://a.espncdn.com/i/headshots/nba/players/full/4237.png,76.0,4237,2,John Wall,PG,38199000.0,washington-wizards,s:40~l:46~a:4237,210.0,573.0,561.0,35.9,6.9,15.9,43.3,0.9,2.9,32.4,4.3,5.5,78.1,0.6,3.8,4.3,9.2,0.7,1.7,2.2,3.8,19.0
Johnathan Williams,24,05/22/95,"Memphis, TN",Gonzaga,1,d5f63a10593f3739f25a09f7e5d58854,,https://a.espncdn.com/i/headshots/nba/players/full/3064528.png,81.0,3064528,19,Johnathan Williams,PF,0.0,washington-wizards,s:40~l:46~a:3064528,228.0,35.0,5.0,14.5,2.3,3.9,60.0,0.0,0.1,0.0,0.9,1.5,56.6,1.8,2.3,4.1,0.5,0.4,0.3,2.1,0.6,5.5
Moritz Wagner,22,04/26/97,Germany,Michigan,1,77dabd3ef33570aab04be579fc0efec4,,https://a.espncdn.com/i/headshots/nba/players/full/3150844.png,83.0,3150844,21,Moritz Wagner,SF,2063520.0,washington-wizards,s:40~l:46~a:3150844,245.0,80.0,10.0,14.4,2.5,5.0,50.6,0.6,1.8,31.3,1.4,1.7,81.5,0.9,2.6,3.5,0.9,0.4,0.4,2.4,1.2,7.0
Rui Hachimura,22,02/08/98,Japan,Gonzaga,0,40c1bcf6675bf217f97c1d628073f927,,https://a.espncdn.com/i/headshots/nba/players/full/4066648.png,80.0,4066648,8,Rui Hachimura,PF,4469160.0,washington-wizards,s:40~l:46~a:4066648,230.0,41.0,41.0,29.7,5.3,11.1,47.8,0.5,1.8,27.4,2.2,2.7,82.9,1.5,4.5,6.0,1.7,0.2,0.8,2.2,1.0,13.4
Shabazz Napier,28,07/14/91,"Roxbury, MA",Connecticut,5,ea55f9c9aaf2ecd3e57088077b96fd63,,https://a.espncdn.com/i/headshots/nba/players/full/2530780.png,72.0,2530780,5,Shabazz Napier,PG,1845301.0,washington-wizards,s:40~l:46~a:2530780,175.0,340.0,53.0,17.3,2.3,5.9,39.7,1.0,2.9,34.6,1.4,1.7,81.5,0.3,1.6,1.9,2.5,0.1,0.8,1.2,1.3,7.0
Thomas Bryant,22,07/31/97,"Rochester, NY",Indiana,2,4b399440a23de7d3e7b3f2db19e9bb2b,,https://a.espncdn.com/i/headshots/nba/players/full/3934723.png,82.0,3934723,13,Thomas Bryant,C,8000000.0,washington-wizards,s:40~l:46~a:3934723,248.0,125.0,81.0,19.8,4.0,6.6,60.4,0.4,1.3,34.4,1.5,1.9,75.5,1.5,4.3,5.8,1.4,0.8,0.3,1.7,0.9,9.9
Bol Bol,20,11/16/99,Sudan,Oregon,0,ca22763a903c06cfdf6c571ba8c55dae,,https://a.espncdn.com/i/headshots/nba/players/full/4397102.png,86.0,4397102,10,Bol Bol,C,0.0,denver-nuggets,s:40~l:46~a:4397102,220.0,,,,,,,,,,,,,,,,,,,,,
Gary Harris,25,09/14/94,"Fishers, IN",Michigan State,5,80977674266a5c4a16a5f7efe9961fe0,,https://a.espncdn.com/i/headshots/nba/players/full/2999547.png,76.0,2999547,14,Gary Harris,SG,17839286.0,denver-nuggets,s:40~l:46~a:2999547,210.0,368.0,306.0,29.0,4.5,10.0,45.4,1.5,4.1,36.0,1.6,1.9,80.3,0.6,2.0,2.6,2.1,0.2,1.3,1.8,1.2,12.1
Jamal Murray,23,02/23/97,"Kitchener, ON",Kentucky,3,153b92a9848974e3c5246527eb991e84,,https://a.espncdn.com/i/headshots/nba/players/full/3936299.png,76.0,3936299,27,Jamal Murray,PG,4444746.0,denver-nuggets,s:40~l:46~a:3936299,215.0,293.0,218.0,29.3,5.7,13.0,43.9,1.8,5.1,35.8,2.3,2.6,88.2,0.8,2.8,3.6,3.7,0.3,0.9,1.9,1.9,15.6
Jerami Grant,26,03/12/94,"Portland, OR",Syracuse,5,dc6db1badc618a7e647a83c10bb9f76f,,https://a.espncdn.com/i/headshots/nba/players/full/2991070.png,80.0,2991070,9,Jerami Grant,PF,9346153.0,denver-nuggets,s:40~l:46~a:2991070,210.0,447.0,167.0,24.4,3.2,7.0,46.3,0.8,2.3,34.8,1.9,2.9,66.6,0.9,2.9,3.9,1.1,1.1,0.6,2.3,0.9,9.2
Mason Plumlee,30,03/05/90,"Fort Wayne, IN",Duke,6,058a249e89295de15f074f1b4ba96a90,,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,83.0,2488653,7,Mason Plumlee,PF,14041096.0,denver-nuggets,s:40~l:46~a:2488653,254.0,524.0,257.0,21.6,3.3,5.7,57.4,0.0,0.1,6.5,1.8,3.2,56.3,2.0,4.3,6.2,2.2,0.9,0.8,2.7,1.5,8.3
Monte Morris,24,06/27/95,"Grand Rapids, MI",Iowa State,2,5f7ea6e5937e1ab007f3f00cd895ee12,,https://a.espncdn.com/i/headshots/nba/players/full/3059310.png,74.0,3059310,11,Monte Morris,PG,1588231.0,denver-nuggets,s:40~l:46~a:3059310,183.0,150.0,14.0,22.6,3.8,7.9,48.0,1.0,2.5,39.8,0.8,1.0,81.4,0.4,1.7,2.1,3.6,0.1,0.9,1.1,0.7,9.4
Nikola Jokic,25,02/19/95,,,4,22f5751106ae1587f01b33965365ce0d,,https://a.espncdn.com/i/headshots/nba/players/full/3112335.png,84.0,3112335,15,Nikola Jokic,C,27504630.0,denver-nuggets,s:40~l:46~a:3112335,284.0,373.0,332.0,29.0,6.5,12.4,52.4,0.9,2.7,33.8,3.0,3.6,82.5,2.6,7.1,9.7,5.4,0.7,1.1,2.8,2.5,16.9
Noah Vonleh,24,08/24/95,"Haverhill, MA",Indiana,5,5303c6086f92e5a2564ccbfde6de2c07,,https://a.espncdn.com/i/headshots/nba/players/full/3078284.png,82.0,3078284,32,Noah Vonleh,PF,2000000.0,denver-nuggets,s:40~l:46~a:3078284,257.0,332.0,171.0,17.0,1.9,4.2,46.0,0.3,0.9,31.0,0.9,1.3,69.2,1.4,3.8,5.2,0.8,0.4,0.4,1.8,0.8,5.0
PJ Dozier,23,10/25/96,"Columbia, SC",South Carolina,2,c12f245c806352dedc58abaf000a2a81,,https://a.espncdn.com/i/headshots/nba/players/full/3923250.png,78.0,3923250,35,PJ Dozier,PG,0.0,denver-nuggets,s:40~l:46~a:3923250,205.0,29.0,0.0,9.9,1.6,3.9,39.5,0.3,1.2,25.0,0.3,0.4,61.5,0.4,1.3,1.7,1.2,0.2,0.3,1.0,0.4,3.7
Paul Millsap,35,02/10/85,"Monroe, LA",Louisiana Tech,13,a9c367e6c01d7822acb9e11a595abd7e,,https://a.espncdn.com/i/headshots/nba/players/full/3015.png,79.0,3015,4,Paul Millsap,PF,30350000.0,denver-nuggets,s:40~l:46~a:3015,257.0,989.0,702.0,29.1,5.3,10.7,49.1,0.5,1.4,34.3,3.0,4.1,73.7,2.2,5.1,7.3,2.3,1.0,1.3,3.1,1.8,14.0
Torrey Craig,29,12/19/90,"Columbia, SC",USC Upstate,2,91a15f7d0a24cb150c4b0bb2ca44b791,B,https://a.espncdn.com/i/headshots/nba/players/full/2528693.png,79.0,2528693,3,Torrey Craig,SF,2000000.0,denver-nuggets,s:40~l:46~a:2528693,221.0,164.0,61.0,18.3,1.9,4.3,45.0,0.7,2.2,32.1,0.6,0.8,66.9,1.1,2.3,3.3,0.8,0.6,0.4,2.1,0.5,5.1
Troy Daniels,28,07/15/91,"Roanoke, VA",Virginia Commonwealth,6,eab1eddaca651903f19a560cb80f6d02,,https://a.espncdn.com/i/headshots/nba/players/full/2489530.png,76.0,2489530,30,Troy Daniels,SG,384541.0,denver-nuggets,s:40~l:46~a:2489530,205.0,334.0,20.0,14.9,2.3,5.6,40.1,1.6,4.1,39.6,0.4,0.5,79.9,0.2,1.1,1.3,0.5,0.1,0.3,1.3,0.6,6.6
Vlatko Cancar,22,04/10/97,Slovenia,,0,eacea5f7c7fee0f06a31349553c9bae7,,https://a.espncdn.com/i/headshots/nba/players/full/4230557.png,80.0,4230557,31,Vlatko Cancar,SF,898310.0,denver-nuggets,s:40~l:46~a:4230557,236.0,14.0,0.0,3.2,0.4,1.1,40.0,0.1,0.4,16.7,0.3,0.3,100.0,0.4,0.4,0.7,0.2,0.1,0.1,0.5,0.2,1.2
Will Barton,29,01/06/91,"Baltimore, MD",Memphis,7,e8c90318261e5c78f07ab666de9c1ae0,,https://a.espncdn.com/i/headshots/nba/players/full/6579.png,77.0,6579,5,Will Barton,SF,12776786.0,denver-nuggets,s:40~l:46~a:6579,181.0,496.0,161.0,24.4,4.1,9.5,43.4,1.2,3.3,34.7,1.7,2.2,78.6,0.8,3.5,4.2,2.5,0.4,0.7,1.6,1.4,11.1
Evan Turner,31,10/27/88,"Chicago, IL",Ohio State,9,ab9d5a47f74411339afc31a607897a3b,L,https://a.espncdn.com/i/headshots/nba/players/full/4239.png,78.0,4239,1,Evan Turner,SG,18606556.0,minnesota-timberwolves,s:40~l:46~a:4239,220.0,705.0,295.0,26.9,3.9,9.0,43.4,0.4,1.3,29.4,1.5,1.9,78.2,0.6,4.1,4.6,3.5,0.3,0.8,2.0,1.8,9.7
Jacob Evans,22,06/18/97,"Jacksonville, NC",Cincinnati,1,5a6af35880410290065f67ccf45594b2,,https://a.espncdn.com/i/headshots/nba/players/full/3934621.png,76.0,3934621,10,Jacob Evans,SG,1925880.0,minnesota-timberwolves,s:40~l:46~a:3934621,210.0,59.0,2.0,10.5,1.1,3.2,33.7,0.3,0.9,31.5,0.4,0.5,83.3,0.3,0.9,1.1,0.9,0.3,0.3,1.2,0.6,2.8
Jake Layman,26,03/07/94,"Norwood, MA",Maryland,3,1a2ccb0dbcce546d7b4a69818851c7d1,,https://a.espncdn.com/i/headshots/nba/players/full/2982268.png,80.0,2982268,10,Jake Layman,SF,3581986.0,minnesota-timberwolves,s:40~l:46~a:2982268,209.0,164.0,37.0,13.7,2.1,4.5,45.6,0.6,2.0,30.9,0.5,0.8,72.4,0.5,1.4,1.9,0.5,0.3,0.4,1.2,0.5,5.3
James Johnson,33,02/20/87,"Cheyenne, WY",Wake Forest,10,f670d8691536fbd40fb3f09e48429437,,https://a.espncdn.com/i/headshots/nba/players/full/3999.png,79.0,3999,16,James Johnson,PF,15349400.0,minnesota-timberwolves,s:40~l:46~a:3999,240.0,634.0,220.0,20.6,3.1,6.6,47.7,0.5,1.6,31.0,1.2,1.7,69.3,0.8,2.8,3.6,2.1,0.9,0.8,2.2,1.5,8.0
Jarred Vanderbilt,20,04/03/99,"Houston, TX",Kentucky,1,888ccde398d46ef8c697d6a4ce158f87,B,https://a.espncdn.com/i/headshots/nba/players/full/4278077.png,81.0,4278077,3,Jarred Vanderbilt,PF,1416852.0,minnesota-timberwolves,s:40~l:46~a:4278077,214.0,28.0,0.0,4.1,0.5,1.0,51.9,0.0,0.1,0.0,0.3,0.4,66.7,0.4,0.8,1.1,0.2,0.1,0.3,0.5,0.5,1.3
Jarrett Culver,21,02/20/99,"Dallas, TX",Texas Tech,0,343415f5ba4d54328c23a0de18ca5855,,https://a.espncdn.com/i/headshots/nba/players/full/4277928.png,78.0,4277928,23,Jarrett Culver,SG,5813640.0,minnesota-timberwolves,s:40~l:46~a:4277928,195.0,63.0,35.0,23.9,3.7,9.0,40.4,1.0,3.5,29.9,0.9,1.9,46.2,1.1,2.3,3.4,1.7,0.6,0.9,2.0,1.3,9.2
Jaylen Nowell,20,04/09/99,"Seattle, WA",Washington,0,e2bca5e9c0ecb5334f6c95e33d937777,,https://a.espncdn.com/i/headshots/nba/players/full/4278541.png,76.0,4278541,4,Jaylen Nowell,SG,1400000.0,minnesota-timberwolves,s:40~l:46~a:4278541,201.0,15.0,0.0,10.1,1.3,3.5,35.8,0.2,1.7,11.5,1.1,1.1,94.1,0.2,0.7,0.9,1.3,0.1,0.2,0.7,0.2,3.8
Jordan McLaughlin,23,04/09/96,"Pasadena, CA",USC,0,e1d2e36a3b3fce76d98e476fabd4add9,,https://a.espncdn.com/i/headshots/nba/players/full/3134916.png,71.0,3134916,6,Jordan McLaughlin,PG,0.0,minnesota-timberwolves,s:40~l:46~a:3134916,185.0,30.0,2.0,19.7,2.9,5.9,48.9,1.0,2.5,38.2,0.9,1.3,66.7,0.2,1.4,1.6,4.2,0.1,1.1,1.0,1.0,7.6
Josh Okogie,21,09/01/98,Nigeria,Georgia Tech,1,d48af5178b3f1f26ad6b688b2de84fb4,,https://a.espncdn.com/i/headshots/nba/players/full/4065663.png,76.0,4065663,20,Josh Okogie,SF,2530680.0,minnesota-timberwolves,s:40~l:46~a:4065663,213.0,136.0,80.0,24.3,2.7,6.7,40.4,0.7,2.7,27.4,2.0,2.6,76.5,0.9,2.6,3.6,1.4,0.4,1.1,2.2,1.1,8.1
Juan Hernangomez,24,09/28/95,Spain,,3,bb4390fb76cd2f8189cf158d98d39ad3,,https://a.espncdn.com/i/headshots/nba/players/full/4017839.png,81.0,4017839,41,Juan Hernangomez,PF,3321030.0,minnesota-timberwolves,s:40~l:46~a:4017839,214.0,205.0,51.0,16.1,1.8,4.2,42.8,0.8,2.3,35.9,0.9,1.2,72.2,0.8,2.6,3.4,0.7,0.2,0.4,1.2,0.5,5.3
Kelan Martin,24,08/03/95,"Louisville, KY",Butler,0,dd4b50349e3eadf8ca8c1862aa4d2da1,,https://a.espncdn.com/i/headshots/nba/players/full/3133596.png,77.0,3133596,30,Kelan Martin,SF,0.0,minnesota-timberwolves,s:40~l:46~a:3133596,230.0,31.0,4.0,16.0,2.3,5.8,39.2,0.8,3.1,26.0,1.0,1.0,96.8,0.4,2.7,3.1,0.7,0.3,0.2,1.6,0.6,6.4
Malik Beasley,23,11/26/96,"Atlanta, GA",Florida State,3,4e963496bb602e6e6db0b0b2da819023,,https://a.espncdn.com/i/headshots/nba/players/full/3907822.png,76.0,3907822,5,Malik Beasley,SG,2731714.0,minnesota-timberwolves,s:40~l:46~a:3907822,187.0,220.0,33.0,17.5,3.1,6.9,44.8,1.4,3.6,38.8,0.6,0.8,80.0,0.3,1.7,2.0,1.0,0.1,0.5,1.1,0.7,8.2
Naz Reid,20,08/26/99,"Asbury Park, NJ",LSU,0,f8d497e7586c2aa74da13af638ca26e1,,https://a.espncdn.com/i/headshots/nba/players/full/4396971.png,81.0,4396971,11,Naz Reid,C,898310.0,minnesota-timberwolves,s:40~l:46~a:4396971,264.0,30.0,11.0,16.5,3.3,8.1,41.2,1.1,3.2,33.0,1.2,1.8,69.8,1.1,3.0,4.1,1.2,0.7,0.6,2.8,0.7,9.0
