,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight
Juwan Morgan,22,04/17/97,"Waynesville, MO",Indiana,0,4dccb49d9843cf9705800232db649963,,https://a.espncdn.com/i/headshots/nba/players/full/3934721.png,"6' 7""",3934721,16,Juwan Morgan,SF,"$746,054",utah-jazz,s:40~l:46~a:3934721,232 lbs
Mike Conley,32,10/11/87,"Indianapolis, IN",Ohio State,12,5814198adcfd7d7f351caa2a79e5e8ee,,https://a.espncdn.com/i/headshots/nba/players/full/3195.png,"6' 1""",3195,10,Mike Conley,PG,"$32,511,624",utah-jazz,s:40~l:46~a:3195,175 lbs
Miye Oni,22,08/04/97,"Northridge, CA",Yale,0,2647df804774a071b4cf31ff181cac76,,https://a.espncdn.com/i/headshots/nba/players/full/4066851.png,"6' 5""",4066851,81,Miye Oni,SG,"$898,310",utah-jazz,s:40~l:46~a:4066851,206 lbs
Rayjon Tucker,22,09/24/97,"Charlotte, NC",Arkansas-Little Rock,0,f8d93c4726d6cf3b754f6cafcbda6ec8,,https://a.espncdn.com/i/headshots/nba/players/full/3908819.png,"6' 3""",3908819,6,Rayjon Tucker,SG,"$578,573",utah-jazz,s:40~l:46~a:3908819,209 lbs
Rudy Gobert,27,06/26/92,France,,6,78795dbf3e02934ef796d6a71375c9f5,,https://a.espncdn.com/i/headshots/nba/players/full/3032976.png,"7' 1""",3032976,27,Rudy Gobert,C,"$23,241,573",utah-jazz,s:40~l:46~a:3032976,258 lbs
Tony Bradley,22,01/08/98,"Bartow, FL",North Carolina,2,78cd79a1db814a119177c0b340ccf5a3,,https://a.espncdn.com/i/headshots/nba/players/full/4065673.png,"6' 10""",4065673,13,Tony Bradley,C,"$1,962,360",utah-jazz,s:40~l:46~a:4065673,248 lbs
Alen Smailagic,19,08/18/00,,,0,6ed3f8924bfef2e70329ebd6a104ecae,,https://a.espncdn.com/i/headshots/nba/players/full/4401415.png,"6' 10""",4401415,6,Alen Smailagic,PF,"$898,310",golden-state-warriors,s:40~l:46~a:4401415,215 lbs
Andrew Wiggins,25,02/23/95,"Thornhill, ON",Kansas,5,064c19d065276a21ca99fdfb296fe05d,,https://a.espncdn.com/i/headshots/nba/players/full/3059319.png,"6' 7""",3059319,22,Andrew Wiggins,SF,"$27,504,630",golden-state-warriors,s:40~l:46~a:3059319,197 lbs
Chasson Randle,27,02/05/93,"Rock Island, IL",Stanford,2,71b7154a3d81842448b623ee3e65d586,,https://a.espncdn.com/i/headshots/nba/players/full/2580898.png,"6' 2""",2580898,25,Chasson Randle,PG,,golden-state-warriors,s:40~l:46~a:2580898,185 lbs
Damion Lee,27,10/21/92,,Louisville,2,41fafb6d47a66d8f79f94161918541a4,L,https://a.espncdn.com/i/headshots/nba/players/full/2595209.png,"6' 5""",2595209,1,Damion Lee,SG,"$842,327",golden-state-warriors,s:40~l:46~a:2595209,210 lbs
Draymond Green,30,03/04/90,"Saginaw, MI",Michigan State,7,de360720e41625f28a6bb5ff82616cb1,,https://a.espncdn.com/i/headshots/nba/players/full/6589.png,"6' 6""",6589,23,Draymond Green,PF,"$18,539,130",golden-state-warriors,s:40~l:46~a:6589,230 lbs
Eric Paschall,23,11/04/96,"North Tarrytown, NY",Villanova,0,b67e5e0fa5cb209355845d165a49407e,,https://a.espncdn.com/i/headshots/nba/players/full/3133817.png,"6' 6""",3133817,7,Eric Paschall,PF,"$898,310",golden-state-warriors,s:40~l:46~a:3133817,255 lbs
Jordan Poole,20,06/19/99,"Milwaukee, WI",Michigan,0,4b0492b5a52f267fe84098ef6d2e2bdf,B,https://a.espncdn.com/i/headshots/nba/players/full/4277956.png,"6' 4""",4277956,3,Jordan Poole,SG,"$1,964,760",golden-state-warriors,s:40~l:46~a:4277956,194 lbs
Kevon Looney,24,02/06/96,"Milwaukee, WI",UCLA,4,10a8e77b877324c69966f0c4618caad6,,https://a.espncdn.com/i/headshots/nba/players/full/3155535.png,"6' 9""",3155535,5,Kevon Looney,PF,"$4,464,226",golden-state-warriors,s:40~l:46~a:3155535,222 lbs
Klay Thompson,30,02/08/90,"Los Angeles, CA",Washington State,8,3411530a7ab7e8dce4f165d59a559520,,https://a.espncdn.com/i/headshots/nba/players/full/6475.png,"6' 6""",6475,11,Klay Thompson,SG,"$32,742,000",golden-state-warriors,s:40~l:46~a:6475,215 lbs
Ky Bowman,22,06/17/97,,Boston College,0,d0ef63e951bb5f842b7357521697dc62,,https://a.espncdn.com/i/headshots/nba/players/full/4065635.png,"6' 1""",4065635,12,Ky Bowman,PG,"$350,189",golden-state-warriors,s:40~l:46~a:4065635,187 lbs
Marquese Chriss,22,07/02/97,"Sacramento, CA",Washington,3,a320ecf1d6481b7518ddc1dc576c27b4,,https://a.espncdn.com/i/headshots/nba/players/full/3907487.png,"6' 9""",3907487,32,Marquese Chriss,C,"$654,469",golden-state-warriors,s:40~l:46~a:3907487,240 lbs
Mychal Mulder,25,06/12/94,"Toronto, ON",Kentucky,0,f5a46c489e9aee6a1a74f67f9494132f,,https://a.espncdn.com/i/headshots/nba/players/full/3936298.png,"6' 4""",3936298,12,Mychal Mulder,G,,golden-state-warriors,s:40~l:46~a:3936298,184 lbs
Stephen Curry,32,03/14/88,"Akron, OH",Davidson,10,5dda51f150c966e12026400b73f34fad,,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,"6' 3""",3975,30,Stephen Curry,PG,"$40,231,758",golden-state-warriors,s:40~l:46~a:3975,185 lbs
Amir Coffey,22,06/17/97,"Hopkins, MN",Minnesota,0,2f92cfa13e6f28633bfcaa45062ce909,,https://a.espncdn.com/i/headshots/nba/players/full/4066387.png,"6' 7""",4066387,7,Amir Coffey,SG,0,la-clippers,s:40~l:46~a:4066387,210 lbs
Ivica Zubac,23,03/18/97,,,3,314d5203a97339efad47e6bcd46f77fd,,https://a.espncdn.com/i/headshots/nba/players/full/4017837.png,"7' 0""",4017837,40,Ivica Zubac,C,"$6,481,482",la-clippers,s:40~l:46~a:4017837,240 lbs
JaMychal Green,29,06/21/90,"Montgomery, AL",Alabama,5,7f371bd67ee471dbc894d3efa58bae1d,,https://a.espncdn.com/i/headshots/nba/players/full/2327577.png,"6' 8""",2327577,4,JaMychal Green,PF,"$4,767,000",la-clippers,s:40~l:46~a:2327577,227 lbs
Joakim Noah,35,02/25/85,"New York, NY",Florida,12,350cde6f2a2bf0fc4f922f7ec39a4649,,https://a.espncdn.com/i/headshots/nba/players/full/3224.png,"6' 11""",3224,55,Joakim Noah,C,,la-clippers,s:40~l:46~a:3224,230 lbs
Johnathan Motley,24,05/04/95,"Houston, TX",Baylor,2,1cba9a3843376d4dcccce57715dc3e46,,https://a.espncdn.com/i/headshots/nba/players/full/3059306.png,"6' 8""",3059306,15,Johnathan Motley,PF,0,la-clippers,s:40~l:46~a:3059306,230 lbs
Kawhi Leonard,28,06/29/91,"Los Angeles, CA",San Diego State,8,87ff907cc68ca82d121537e05d0c62ef,R,https://a.espncdn.com/i/headshots/nba/players/full/6450.png,"6' 7""",6450,2,Kawhi Leonard,SF,"$32,742,000",la-clippers,s:40~l:46~a:6450,225 lbs
Landry Shamet,23,03/13/97,"Kansas City, MO",Wichita State,1,69fd7509a4ad0c68925249708020e668,,https://a.espncdn.com/i/headshots/nba/players/full/3914044.png,"6' 4""",3914044,20,Landry Shamet,SG,"$1,995,120",la-clippers,s:40~l:46~a:3914044,190 lbs
Lou Williams,33,10/27/86,"Lithonia, GA",,14,12106a262d6e6f06de6f45243a6c2b88,,https://a.espncdn.com/i/headshots/nba/players/full/2799.png,"6' 1""",2799,23,Lou Williams,SG,"$8,000,000",la-clippers,s:40~l:46~a:2799,175 lbs
Mfiondu Kabengele,22,08/14/97,"Burlington, ON",Florida State,0,caad856f1a201238add098e9c5a44724,,https://a.espncdn.com/i/headshots/nba/players/full/4065660.png,"6' 9""",4065660,25,Mfiondu Kabengele,PF,"$1,977,000",la-clippers,s:40~l:46~a:4065660,250 lbs
Montrezl Harrell,26,01/26/94,"Tarboro, NC",Louisville,4,37502d0d04f2eb8fa0b4266731adf5df,,https://a.espncdn.com/i/headshots/nba/players/full/2991055.png,"6' 7""",2991055,5,Montrezl Harrell,PF,"$6,000,000",la-clippers,s:40~l:46~a:2991055,240 lbs
Patrick Beverley,31,07/12/88,"Chicago, IL",Arkansas,7,1ab8ad1b6dbffffcf2a7270e7e0a3df4,,https://a.espncdn.com/i/headshots/nba/players/full/3964.png,"6' 1""",3964,21,Patrick Beverley,PG,"$12,345,680",la-clippers,s:40~l:46~a:3964,180 lbs
Patrick Patterson,31,03/14/89,"Washington, DC",Kentucky,9,997ac975cd98e7886292c9f7b06d6ffc,,https://a.espncdn.com/i/headshots/nba/players/full/4264.png,"6' 8""",4264,54,Patrick Patterson,PF,"$1,620,564",la-clippers,s:40~l:46~a:4264,235 lbs
Paul George,29,05/02/90,"Palmdale, CA",Fresno State,9,d7e5e918d53f018e9d15f9005b2390ad,,https://a.espncdn.com/i/headshots/nba/players/full/4251.png,"6' 8""",4251,13,Paul George,SG,"$30,560,700",la-clippers,s:40~l:46~a:4251,220 lbs
Reggie Jackson,29,04/16/90,Italy,Boston College,8,f4f210d8024f8e2533dfc7291b278905,L,https://a.espncdn.com/i/headshots/nba/players/full/6443.png,"6' 3""",6443,1,Reggie Jackson,PG,"$512,721",la-clippers,s:40~l:46~a:6443,208 lbs
Rodney McGruder,28,07/29/91,"Landover, MD",Kansas State,3,1b4ce6f3b90e0278facabfa0eaa58f3d,,https://a.espncdn.com/i/headshots/nba/players/full/2488826.png,"6' 4""",2488826,19,Rodney McGruder,SG,"$4,807,693",la-clippers,s:40~l:46~a:2488826,205 lbs
Terance Mann,23,10/18/96,"Brooklyn, NY",Florida State,0,14bc202c24586189f96432085299060a,,https://a.espncdn.com/i/headshots/nba/players/full/3907823.png,"6' 5""",3907823,14,Terance Mann,SG,"$1,000,000",la-clippers,s:40~l:46~a:3907823,215 lbs
Alex Caruso,26,02/28/94,"College Station, TX",Texas A&M,2,41bcf5f107fdeffe1f0c5b58221253f0,,https://a.espncdn.com/i/headshots/nba/players/full/2991350.png,"6' 5""",2991350,4,Alex Caruso,SG,"$2,750,000",los-angeles-lakers,s:40~l:46~a:2991350,186 lbs
Anthony Davis,27,03/11/93,"Chicago, IL",Kentucky,7,dcf631634dbfc59d19203ecc2f8bd5fb,B,https://a.espncdn.com/i/headshots/nba/players/full/6583.png,"6' 10""",6583,3,Anthony Davis,PF,"$27,093,018",los-angeles-lakers,s:40~l:46~a:6583,253 lbs
Avery Bradley,29,11/26/90,"Tacoma, WA",Texas,9,e2442d126de660ce5937394b82c1715a,,https://a.espncdn.com/i/headshots/nba/players/full/4240.png,"6' 3""",4240,11,Avery Bradley,PG,"$4,767,000",los-angeles-lakers,s:40~l:46~a:4240,180 lbs
Danny Green,32,06/22/87,"New York, NY",North Carolina,10,e5cf89d43b87d7b8dd64f38e63824016,,https://a.espncdn.com/i/headshots/nba/players/full/3988.png,"6' 6""",3988,14,Danny Green,SG,"$14,634,146",los-angeles-lakers,s:40~l:46~a:3988,215 lbs
Devontae Cacok,23,10/08/96,"Chicago, IL",North Carolina-Wilmington,0,ae24fc97c1310804219f512be79964d1,,https://a.espncdn.com/i/headshots/nba/players/full/3946974.png,"6' 8""",3946974,12,Devontae Cacok,C,0,los-angeles-lakers,s:40~l:46~a:3946974,240 lbs
Dion Waiters,28,12/10/91,"Philadelphia, PA",Syracuse,7,35a9085089fc0af37a037a2523b6db7a,,https://a.espncdn.com/i/headshots/nba/players/full/6628.png,"6' 3""",6628,18,Dion Waiters,SG,"$375,385",los-angeles-lakers,s:40~l:46~a:6628,210 lbs
Dwight Howard,34,12/08/85,"Atlanta, GA",,15,3532d110b6c41d6be11685a7fbbee2de,,https://a.espncdn.com/i/headshots/nba/players/full/2384.png,"6' 10""",2384,39,Dwight Howard,C,"$1,620,564",los-angeles-lakers,s:40~l:46~a:2384,265 lbs
JaVale McGee,32,01/19/88,"Flint, MI",Nevada,11,98d52496d7a19d8dd9a8bbd1fc5e362d,,https://a.espncdn.com/i/headshots/nba/players/full/3452.png,"7' 0""",3452,7,JaVale McGee,C,"$4,000,000",los-angeles-lakers,s:40~l:46~a:3452,270 lbs
Jared Dudley,34,07/10/85,"San Diego, CA",Boston College,12,b3b419ab29c21f89a2d31526beb6988e,,https://a.espncdn.com/i/headshots/nba/players/full/3201.png,"6' 6""",3201,10,Jared Dudley,SF,"$1,620,564",los-angeles-lakers,s:40~l:46~a:3201,237 lbs
Kostas Antetokounmpo,22,11/20/97,Greece,Dayton,1,d2048eab0be106918b3dc1abfac22978,,https://a.espncdn.com/i/headshots/nba/players/full/4066490.png,"6' 10""",4066490,37,Kostas Antetokounmpo,PF,0,los-angeles-lakers,s:40~l:46~a:4066490,200 lbs
Kyle Kuzma,24,07/24/95,"Flint, MI",Utah,2,6fe27ee9be2b9dddd75f18675e177915,,https://a.espncdn.com/i/headshots/nba/players/full/3134907.png,"6' 8""",3134907,0,Kyle Kuzma,PF,"$1,974,600",los-angeles-lakers,s:40~l:46~a:3134907,221 lbs
LeBron James,35,12/30/84,"Akron, OH",,16,1f6592b3ff53d3218dc56038d48c1786,,https://a.espncdn.com/i/headshots/nba/players/full/1966.png,"6' 9""",1966,23,LeBron James,SF,"$37,436,858",los-angeles-lakers,s:40~l:46~a:1966,250 lbs
Markieff Morris,30,09/02/89,"Philadelphia, PA",Kansas,8,bb14f49433879cb5bd8f175ec15546a2,,https://a.espncdn.com/i/headshots/nba/players/full/6461.png,"6' 8""",6461,88,Markieff Morris,PF,"$1,750,000",los-angeles-lakers,s:40~l:46~a:6461,245 lbs
Quinn Cook,27,03/23/93,"Washington, DC",Duke,3,6d692120d83f0c85e417de4733d738e2,,https://a.espncdn.com/i/headshots/nba/players/full/2566745.png,"6' 1""",2566745,28,Quinn Cook,PG,"$3,000,000",los-angeles-lakers,s:40~l:46~a:2566745,180 lbs
Rajon Rondo,34,02/22/86,"Louisville, KY",Kentucky,13,42b2f3db1c21dcb5f3584c91d74b4ffd,,https://a.espncdn.com/i/headshots/nba/players/full/3026.png,"6' 1""",3026,9,Rajon Rondo,PG,"$2,564,753",los-angeles-lakers,s:40~l:46~a:3026,180 lbs
Aron Baynes,33,12/09/86,New Zealand,Washington State,7,e13c65978f551b2168dd677c0182c52d,,https://a.espncdn.com/i/headshots/nba/players/full/2968439.png,"6' 10""",2968439,46,Aron Baynes,C,"$5,453,280",phoenix-suns,s:40~l:46~a:2968439,260 lbs
Cameron Johnson,24,03/03/96,"Moon Township, PA",North Carolina,0,52d9a7a40beea926a5fdf2ecb96eaa95,,https://a.espncdn.com/i/headshots/nba/players/full/3138196.png,"6' 8""",3138196,23,Cameron Johnson,SF,"$4,033,440",phoenix-suns,s:40~l:46~a:3138196,210 lbs
Cheick Diallo,23,09/13/96,Mali,Kansas,3,380c5a1a5160c65866d2f1134b7841ad,,https://a.espncdn.com/i/headshots/nba/players/full/3919335.png,"6' 8""",3919335,14,Cheick Diallo,PF,"$1,678,854",phoenix-suns,s:40~l:46~a:3919335,219 lbs
Dario Saric,25,04/08/94,Croatia,,3,ec510d5f3cb7033bef466f3f331f0710,,https://a.espncdn.com/i/headshots/nba/players/full/3032978.png,"6' 10""",3032978,20,Dario Saric,PF,"$3,481,986",phoenix-suns,s:40~l:46~a:3032978,225 lbs
Deandre Ayton,21,07/23/98,Bahamas,Arizona,1,9af41ea8a24c025fa63f8263fbf0ca66,,https://a.espncdn.com/i/headshots/nba/players/full/4278129.png,"6' 11""",4278129,22,Deandre Ayton,C,"$9,562,920",phoenix-suns,s:40~l:46~a:4278129,250 lbs
Devin Booker,23,10/30/96,"Grand Rapids, MI",Kentucky,4,493046d7fa60d8a11397b9a6dca8dedf,L,https://a.espncdn.com/i/headshots/nba/players/full/3136193.png,"6' 5""",3136193,1,Devin Booker,SG,"$27,285,000",phoenix-suns,s:40~l:46~a:3136193,206 lbs
Elie Okobo,22,10/23/97,France,,1,d27daeb970c9aed53be4f3ba2a98c9b5,R,https://a.espncdn.com/i/headshots/nba/players/full/4230550.png,"6' 3""",4230550,2,Elie Okobo,SF,"$1,416,852",phoenix-suns,s:40~l:46~a:4230550,190 lbs
Frank Kaminsky,26,04/04/93,"Lisle, IL",Wisconsin,4,f9dd05361090a62cfa77ae7a119a8e88,,https://a.espncdn.com/i/headshots/nba/players/full/2579294.png,"7' 0""",2579294,8,Frank Kaminsky,C,"$4,767,000",phoenix-suns,s:40~l:46~a:2579294,240 lbs
Jalen Lecque,19,06/13/00,"Manhattan, NY",,0,cb3b4575da6f16c81bf391198c153726,,https://a.espncdn.com/i/headshots/nba/players/full/4423887.png,"6' 4""",4423887,0,Jalen Lecque,PG,"$898,310",phoenix-suns,s:40~l:46~a:4423887,185 lbs
Jevon Carter,24,09/14/95,"Oak Park, IL",West Virginia,1,9f154251b367bd8c394aad9175f30518,,https://a.espncdn.com/i/headshots/nba/players/full/3133635.png,"6' 1""",3133635,4,Jevon Carter,PG,"$1,416,852",phoenix-suns,s:40~l:46~a:3133635,200 lbs
Mikal Bridges,23,08/30/96,"Philadelphia, PA",Villanova,1,cb79ebc7b282824752967b803d2cbc9e,,https://a.espncdn.com/i/headshots/nba/players/full/3147657.png,"6' 6""",3147657,25,Mikal Bridges,SF,"$4,161,000",phoenix-suns,s:40~l:46~a:3147657,209 lbs
Ricky Rubio,29,10/21/90,Spain,,8,0256cef5f8a76e8a7c1f0400129dd4dd,,https://a.espncdn.com/i/headshots/nba/players/full/4011.png,"6' 3""",4011,11,Ricky Rubio,PG,"$16,200,000",phoenix-suns,s:40~l:46~a:4011,190 lbs
Tariq Owens,24,06/30/95,,Texas Tech,0,601ed977e05c69347217245d5ce23439,,https://a.espncdn.com/i/headshots/nba/players/full/3149059.png,"6' 10""",3149059,41,Tariq Owens,F,0,phoenix-suns,s:40~l:46~a:3149059,205 lbs
Ty Jerome,22,07/08/97,"New York, NY",Virginia,0,c310575489ce50553b1b61c45e7ce40a,,https://a.espncdn.com/i/headshots/nba/players/full/4065733.png,"6' 5""",4065733,10,Ty Jerome,SG,"$2,193,480",phoenix-suns,s:40~l:46~a:4065733,195 lbs
Alex Len,26,06/16/93,Ukraine,Maryland,6,56df8855ab0a659aeed2ccb77a2b77f7,,https://a.espncdn.com/i/headshots/nba/players/full/2596107.png,"7' 0""",2596107,25,Alex Len,C,"$4,160,000",sacramento-kings,s:40~l:46~a:2596107,250 lbs
Bogdan Bogdanovic,27,08/18/92,,,2,db759921c2d428def1eb66f1c0aa708f,,https://a.espncdn.com/i/headshots/nba/players/full/3037789.png,"6' 6""",3037789,8,Bogdan Bogdanovic,SG,"$8,529,386",sacramento-kings,s:40~l:46~a:3037789,220 lbs
Buddy Hield,27,12/17/92,Bahamas,Oklahoma,3,2ca1d65c40ac444090348a6c954e876c,,https://a.espncdn.com/i/headshots/nba/players/full/2990984.png,"6' 4""",2990984,24,Buddy Hield,SG,"$4,861,208",sacramento-kings,s:40~l:46~a:2990984,220 lbs
Cory Joseph,28,08/20/91,"Toronto, ON",Texas,8,c8370b0d572a40348738f981c19cd657,,https://a.espncdn.com/i/headshots/nba/players/full/6446.png,"6' 3""",6446,9,Cory Joseph,PG,"$12,000,000",sacramento-kings,s:40~l:46~a:6446,200 lbs
DaQuan Jeffries,22,08/30/97,,Tulsa,0,7dd2d924841d8411b7e1359bdbb3f310,,https://a.espncdn.com/i/headshots/nba/players/full/3913220.png,"6' 5""",3913220,19,DaQuan Jeffries,SG,0,sacramento-kings,s:40~l:46~a:3913220,230 lbs
Harrison Barnes,27,05/30/92,"Ames, IA",North Carolina,7,2a44393ff19d019efc9a3153d1ff0197,,https://a.espncdn.com/i/headshots/nba/players/full/6578.png,"6' 8""",6578,40,Harrison Barnes,SF,"$24,147,727",sacramento-kings,s:40~l:46~a:6578,225 lbs
Jabari Parker,25,03/15/95,"Chicago, IL",Duke,5,5ed9bd98c83f2f8ecf16f243c39fb2f6,,https://a.espncdn.com/i/headshots/nba/players/full/3056600.png,"6' 8""",3056600,33,Jabari Parker,PF,"$6,500,000",sacramento-kings,s:40~l:46~a:3056600,245 lbs
Justin James,23,01/24/97,,Wyoming,0,e385c21e8e742262292fc21e5d262259,,https://a.espncdn.com/i/headshots/nba/players/full/3914058.png,"6' 7""",3914058,10,Justin James,SG,"$898,310",sacramento-kings,s:40~l:46~a:3914058,190 lbs
Kent Bazemore,30,07/01/89,"Kelford, NC",Old Dominion,7,1b9fcc3b945fa8c17aa9a72b5dab4fa5,,https://a.espncdn.com/i/headshots/nba/players/full/6637.png,"6' 4""",6637,26,Kent Bazemore,SG,"$19,269,662",sacramento-kings,s:40~l:46~a:6637,195 lbs
Kyle Guy,22,08/11/97,"Indianapolis, IN",Virginia,0,d169f2614076176786ed2fc481fd4138,,https://a.espncdn.com/i/headshots/nba/players/full/4065730.png,"6' 1""",4065730,7,Kyle Guy,SG,0,sacramento-kings,s:40~l:46~a:4065730,167 lbs
Nemanja Bjelica,31,05/09/88,Yugoslavia,,4,d2db86df2f09c977b5fe4941e20acd59,,https://a.espncdn.com/i/headshots/nba/players/full/4269.png,"6' 10""",4269,88,Nemanja Bjelica,PF,"$6,825,000",sacramento-kings,s:40~l:46~a:4269,234 lbs
Richaun Holmes,26,10/15/93,"Lockport, IL",Bowling Green,4,a98f1dec06a1b68a4ea37d59f7f78e62,,https://a.espncdn.com/i/headshots/nba/players/full/2993370.png,"6' 10""",2993370,22,Richaun Holmes,C,"$4,767,000",sacramento-kings,s:40~l:46~a:2993370,235 lbs
Yogi Ferrell,26,05/09/93,"Indianapolis, IN",Indiana,3,01a71984009a87505a1a6f1fadfb3e45,B,https://a.espncdn.com/i/headshots/nba/players/full/2991018.png,"6' 0""",2991018,3,Yogi Ferrell,PG,"$3,150,000",sacramento-kings,s:40~l:46~a:2991018,178 lbs
Antonius Cleveland,26,02/02/94,"Memphis, TN",Southeast Missouri State,1,f99b2b1c29754491d2c10c1e5c4c3f50,B,https://a.espncdn.com/i/headshots/nba/players/full/3064237.png,"6' 5""",3064237,3,Antonius Cleveland,SG,0,dallas-mavericks,s:40~l:46~a:3064237,195 lbs
Boban Marjanovic,31,08/15/88,,,4,f8a8f558d16ab6698518c00aef5f4847,,https://a.espncdn.com/i/headshots/nba/players/full/4376.png,"7' 4""",4376,51,Boban Marjanovic,C,"$3,500,000",dallas-mavericks,s:40~l:46~a:4376,290 lbs
Courtney Lee,34,10/03/85,"Indianapolis, IN",Western Kentucky,11,4f42e0e77cfaa56baf973f5a9606d2b2,L,https://a.espncdn.com/i/headshots/nba/players/full/3445.png,"6' 5""",3445,1,Courtney Lee,SG,"$12,759,670",dallas-mavericks,s:40~l:46~a:3445,215 lbs
Delon Wright,27,04/26/92,"Los Angeles, CA",Utah,4,e2af91fa9c9ae951e887434ac068187b,,https://a.espncdn.com/i/headshots/nba/players/full/3064447.png,"6' 5""",3064447,55,Delon Wright,PG,"$9,473,684",dallas-mavericks,s:40~l:46~a:3064447,185 lbs
Dwight Powell,28,07/20/91,"Toronto, ON",Stanford,5,c18853c26b2f5060a8708eb770b4b881,,https://a.espncdn.com/i/headshots/nba/players/full/2531367.png,"6' 10""",2531367,7,Dwight Powell,C,"$10,259,375",dallas-mavericks,s:40~l:46~a:2531367,240 lbs
Jalen Brunson,23,08/31/96,"New Brunswick, NJ",Villanova,1,89519c75cf8a38e71151b6247a2d4535,,https://a.espncdn.com/i/headshots/nba/players/full/3934672.png,"6' 1""",3934672,13,Jalen Brunson,PG,"$1,416,852",dallas-mavericks,s:40~l:46~a:3934672,190 lbs
Josh Reaves,22,06/04/97,"Fairfax, VA",Penn State,0,eabd81a667d5e78ea4eca17c5701014f,,https://a.espncdn.com/i/headshots/nba/players/full/3912278.png,"6' 4""",3912278,23,Josh Reaves,SG,0,dallas-mavericks,s:40~l:46~a:3912278,214 lbs
Justin Jackson,24,03/28/95,"Houston, TX",North Carolina,2,ea5f207a6b56696ed6ae13cd5d9a7072,,https://a.espncdn.com/i/headshots/nba/players/full/3138156.png,"6' 7""",3138156,44,Justin Jackson,SF,"$3,280,920",dallas-mavericks,s:40~l:46~a:3138156,220 lbs
Kristaps Porzingis,24,08/02/95,Latvia,,3,a1f467e25304c8c1db2380fe313c3d7c,,https://a.espncdn.com/i/headshots/nba/players/full/3102531.png,"7' 3""",3102531,6,Kristaps Porzingis,PF,"$27,285,000",dallas-mavericks,s:40~l:46~a:3102531,240 lbs
Luka Doncic,21,02/28/99,Slovenia,,1,583794eb0f389bbd3e259dd33b7f83b8,,https://a.espncdn.com/i/headshots/nba/players/full/3945274.png,"6' 7""",3945274,77,Luka Doncic,SG,"$7,683,360",dallas-mavericks,s:40~l:46~a:3945274,230 lbs
Maxi Kleber,28,01/29/92,Germany,,2,d06ad72226ff58651433061e2e6fbb32,,https://a.espncdn.com/i/headshots/nba/players/full/2960236.png,"6' 10""",2960236,42,Maxi Kleber,PF,"$8,000,000",dallas-mavericks,s:40~l:46~a:2960236,240 lbs
Seth Curry,29,08/23/90,"Charlotte, NC",Duke,5,3f5993882fb23f8c8f8ba0ec58fd65d2,,https://a.espncdn.com/i/headshots/nba/players/full/2326307.png,"6' 2""",2326307,30,Seth Curry,SG,"$7,461,380",dallas-mavericks,s:40~l:46~a:2326307,185 lbs
Austin Rivers,27,08/01/92,"Santa Monica, CA",Duke,7,3247a1a122286918132d730dbe85aa01,,https://a.espncdn.com/i/headshots/nba/players/full/6617.png,"6' 3""",6617,25,Austin Rivers,PG,"$2,147,317",houston-rockets,s:40~l:46~a:6617,200 lbs
Ben McLemore,27,02/11/93,,Kansas,6,9388d3454216dbdab0924b1fa8b3ac99,,https://a.espncdn.com/i/headshots/nba/players/full/2578213.png,"6' 3""",2578213,16,Ben McLemore,SF,"$2,028,594",houston-rockets,s:40~l:46~a:2578213,195 lbs
Bruno Caboclo,24,09/21/95,Brazil,,5,d4dbf37f97c30fa398df57ed477b0853,,https://a.espncdn.com/i/headshots/nba/players/full/3113297.png,"6' 9""",3113297,5,Bruno Caboclo,SF,"$1,845,301",houston-rockets,s:40~l:46~a:3113297,218 lbs
Chris Clemons,22,07/23/97,"Raleigh, NC",Campbell,0,2367283183d11da9b46e28ec4cad39b8,B,https://a.espncdn.com/i/headshots/nba/players/full/3906603.png,"5' 9""",3906603,3,Chris Clemons,PG,"$563,347",houston-rockets,s:40~l:46~a:3906603,180 lbs
DeMarre Carroll,33,07/27/86,"Birmingham, AL",Missouri,10,0590a1a774b08fe2772e12540ead2e49,,https://a.espncdn.com/i/headshots/nba/players/full/3970.png,"6' 6""",3970,9,DeMarre Carroll,SF,"$512,721",houston-rockets,s:40~l:46~a:3970,215 lbs
Eric Gordon,31,12/25/88,"Indianapolis, IN",Indiana,11,97c558f788e5ac8747dd1c978cf29134,,https://a.espncdn.com/i/headshots/nba/players/full/3431.png,"6' 3""",3431,10,Eric Gordon,SG,"$14,057,730",houston-rockets,s:40~l:46~a:3431,215 lbs
Isaiah Hartenstein,21,05/05/98,"Eugene, OR",,1,1b8bb9099b5c2498030f1e5140c6eec8,,https://a.espncdn.com/i/headshots/nba/players/full/4222252.png,"7' 0""",4222252,55,Isaiah Hartenstein,C,"$1,416,852",houston-rockets,s:40~l:46~a:4222252,250 lbs
James Harden,30,08/26/89,"Bellflower, CA",Arizona State,10,35b0f455b1df0986121d27d2b6c18122,,https://a.espncdn.com/i/headshots/nba/players/full/3992.png,"6' 5""",3992,13,James Harden,SG,"$38,199,000",houston-rockets,s:40~l:46~a:3992,220 lbs
